Gene,image_path
ACTA2,images/ACTA2.pdf
CD14,images/CD14.pdf
CD3D,images/CD3D.png
CD3E,images/CD3E.pdf
CD4,images/CD4.pdf
CD68,images/CD68.pdf
CD79A,images/CD79A.pdf
CD8A,images/CD8A.pdf
CLEC10A,images/CLEC10A.pdf
COL1A1,images/COL1A1.pdf
CSF3R,images/CSF3R.pdf
DCN,images/DCN.pdf
EPCAM,images/EPCAM.pdf
FAP,images/FAP.pdf
FOXP3,images/FOXP3.pdf
IGHG1,images/IGHG1.pdf
IGKC,images/IGKC.pdf
JCHAIN,images/JCHAIN.pdf
KRT18,images/KRT18.pdf
KRT19,images/KRT19.pdf
KRT8,images/KRT8.pdf
NKG7,images/NKG7.pdf
TPSB2,images/TPSB2.pdf
VWF,images/VWF.pdf
